2005/07/01 00:01:08 YVR SA 0000  40 FEW 220 -BKN 20 154/23.7/14.0/1510G16/CU1CI1 7007 RMK CONTRAILS UNOFF
2005/07/01 01:02:20 YVR SA 0100  40 FEW 100 FEW 220 -SCT 20 151/22.7/13.1/1410/CU1AC1CI1 RMK CONTRAILS / TR AC UNOFF
2005/07/01 02:01:48 YVR SA 0200  40 FEW 100 FEW 220 -SCT 20 148/22.2/12.0/1508/TCU1AC1CI1  UNOFF
2005/07/01 03:02:17 YVR SA 0300  40 FEW 100 FEW 220 -FEW 20 146/21.5/11.3/1505/TCU1AC1CI0 6008 RMK TR AC UNOFF
2005/07/01 04:01:06 YVR SA 0400  40 FEW 100 FEW 20 147/18.1/11.6/1107/TCU1AC1  UNOFF
2005/07/01 05:02:46 YVR SA 0500  40 FEW 220 -FEW 20 151/15.7/10.8/1108/SC1CS0  UNOFF
2005/07/01 06:03:43 YVR SA 0600  50 FEW 220 -FEW 20 153/15.3/11.1/0910/SC1CS0 1007  UNOFF
2005/07/01 07:03:22 YVR SA 0700  50 FEW 20 154/14.4/10.6/1011/SC1  UNOFF
2005/07/01 08:02:21 YVR SA 0800  50 FEW 20 158/13.4/10.2/1009/SC1  UNOFF
2005/07/01 09:01:45 YVR SA 0900  50 FEW 20 162/13.0/9.8/1008/SC1 5009  UNOFF
2005/07/01 10:01:47 YVR SA 1000  50 FEW 20 164/12.8/9.4/0910/SC1  UNOFF
2005/07/01 11:03:50 YVR SA 1100  50 FEW 20 165/12.2/8.8/1008/SC3  UNOFF
2005/07/01 12:04:11 YVR SA 1200  40 SCT M100 BKN 20 167/12.1/9.1/1013/SC5AC2 2005  UNOFF
2005/07/01 13:02:27 YVR SA 1300  40 SCT M100 BKN 20 170/12.4/9.6/0911/SC5AC3  UNOFF
2005/07/01 14:01:01 YVR SA 1400  15 FEW M23 OVC 20 173/13.5/10.3/1111/SF1SC9  UNOFF
2005/07/01 14:37:49 YVR SP 1436  12 FEW M15 BKN 25 OVC 15 /13.8//1012G17/SF1SC6SC3  UNOFF
2005/07/01 14:45:13 YVR SP 1443  12 FEW M16 BKN 25 OVC 15 /13.8//1013/SF1SC5SC4  UNOFF
2005/07/01 15:01:04 YVR SA 1500  12 FEW M16 BKN 25 OVC 15 175/13.9/10.3/1011/SF1SC5SC3 1008  UNOFF
2005/07/01 16:01:03 YVR SA 1600  13 FEW M17 BKN 25 OVC 15 178/14.7/10.7/1111/SF1SC5SC3  UNOFF
2005/07/01 17:04:29 YVR SA 1700  15 SCT M90 BKN 15 180/15.2/9.5/1212/SC4AC4  UNOFF
2005/07/01 18:00:54 YVR SA 1800  17 FEW 25 SCT M90 BKN 15 181/16.7/10.4/1112/SF1SC3AC5 2006  UNOFF
2005/07/01 19:01:44 YVR SA 1900  25 FEW M40 BKN 90 BKN 15 182/16.6/9.9/1112/SC2SC4AC2  UNOFF
2005/07/01 20:00:59 YVR SA 2000  25 FEW M38 BKN 90 OVC 15 183/16.7/10.9/1212/SC2SC5AC2  UNOFF
2005/07/01 21:04:26 YVR SA 2100  25 FEW M39 BKN 90 OVC 15 181/17.7/11.3/1309G15/CU2SC5AC2 0000  UNOFF
2005/07/01 22:03:03 YVR SA 2200  25 FEW M44 BKN 90 BKN 15 181/16.5/10.8/1110/CU1SC6AC2  UNOFF
2005/07/01 23:00:54 YVR SA 2300  25 FEW M39 OVC 15 179/16.2/10.8/1009/SC2SC7  UNOFF

2005/07/02 00:01:03 YVR SA 0000  25 FEW 40 SCT M69 OVC 15 177/16.7/11.2/1009/SC2SC2AC5 7004  UNOFF
2005/07/02 01:01:56 YVR SA 0100  39 SCT M66 OVC 15 172/16.6/11.6/0909/SC4AC5  UNOFF
2005/07/02 02:02:46 YVR SA 0200  35 SCT M66 BKN 84 OVC 15 167/16.6/12.1/0808/SC4AC3AC3  UNOFF
2005/07/02 03:04:23 YVR SA 0300  37 FEW M67 BKN 84 OVC 15 164/16.5/11.9/0908/SC3AC6AC1 6013  UNOFF
2005/07/02 04:03:48 YVR SA 0400  40 FEW M67 BKN 92 BKN 220 OVC 15 160/15.8/11.5/1007/SC2AC5AC1CI0  UNOFF
2005/07/02 05:02:37 YVR SA 0500  40 FEW M66 BKN 88 BKN 15 161/15.7/11.0/1207/SC1AC6AC2  UNOFF
2005/07/02 06:04:42 YVR SA 0600  40 FEW M66 BKN 88 BKN 15 158/14.4/10.8/1007/SC1AC7AC1 0006  UNOFF
2005/07/02 07:02:52 YVR SA 0700  M59 BKN 81 OVC 15 155/14.4/10.9/0906/SC7AC1  UNOFF
2005/07/02 08:03:13 YVR SA 0800  62 SCT M78 BKN 15 155/14.1/11.4/1005/SC5AC4  UNOFF
2005/07/02 09:04:59 YVR SA 0900  M71 OVC 15 152/13.9/11.5/1106/AC10 0006  UNOFF
2005/07/02 10:02:37 YVR SA 1000  40 FEW M75 OVC 15 153/13.9/11.1/1205/SC2AC8  UNOFF
2005/07/02 11:04:51 YVR SA 1100  53 SCT M74 OVC 15 151/13.5/11.0/1005/SC4AC6  UNOFF
2005/07/02 12:02:33 YVR SA 1200  45 SCT M76 OVC 15 154/13.7/10.8/1002/SC4AC6 5002  UNOFF
2005/07/02 13:07:28 YVR SA 1300  12 SCT M24 BKN 52 OVC 15 155/14.6/11.9/3202/SC4SC3SC3  UNOFF
2005/07/02 13:16:47 YVR SP 1313  12 FEW 25 SCT M62 OVC 12RA- /14.5//3104/SC3SC2SC5 RMK VIS N LWR UNOFF
2005/07/02 13:42:37 YVR SP 1339  12 FEW M25 BKN 62 OVC 12 /14.5//2912G18/SC3SC3SC3  UNOFF
