2005/04/05 00:04:42 YVR SA 0000  44 SCT E80 BKN 15 193/11.5/-0.1/1805/SC5AC1 2005 RMK TCU EMBD UNOFF
2005/04/05 01:04:38 YVR SA 0100  45 FEW 80 FEW 15 198/10.8/0.8/1410/TCU2AC1 RMK SH DIST N UNOFF
2005/04/05 02:01:12 YVR SA 0200  45 FEW 80 -SCT 200 -BKN 15 200/9.8/2.9/1610/SC1AC1CI1 RMK SH DIST NE UNOFF
2005/04/05 03:01:24 YVR SA 0300  37 FEW 80 -SCT 220 -BKN 15 206/8.6/3.0/1410/SC1AC1CI0 5013 RMK SH DIST N UNOFF
2005/04/05 04:01:03 YVR SA 0400  37 FEW M70 BKN 220 BKN 15 211/8.3/3.2/1407/SC1AC5CI1  UNOFF
2005/04/05 05:01:09 YVR SA 0500  35 FEW 58 -SCT 65 SCT 210 -BKN 15 218/7.7/3.4/1407/SC1SC2SC1CI1  UNOFF
2005/04/05 06:01:38 YVR SA 0600  40 FEW 83 SCT 210 -OVC 15 219/7.2/3.3/0807/SC1AC3CI1 1013  UNOFF
2005/04/05 07:01:03 YVR SA 0700  40 FEW 85 SCT M190 BKN 220 OVC 15 217/6.6/3.3/0807/SC1AC3AC3CI1  UNOFF
2005/04/05 08:01:20 YVR SA 0800  45 SCT M170 OVC 15 215/6.3/2.8/0906/SC4AC4  UNOFF
2005/04/05 09:01:04 YVR SA 0900  40 FEW M130 BKN 150 OVC 15 217/6.5/2.4/1009/SC1AC5AC4 5002  UNOFF
2005/04/05 12:13:07 YVR SA 1000  M90 BKN 120 OVC 15 212/6.2/2.8/1010/AC6AC2  UNOFF
Warning: at line 11: rec & nom time differ > 30 min:  rec = 2005-04-05 04:13:07  nom = 2005-04-05 02:00:00
2005/04/05 12:13:26 YVR SA 1100  40 FEW M95 BKN 120 OVC 15 211/6.1/2.9/0913/SC1AC5AC2  UNOFF
Warning: at line 12: rec & nom time differ > 30 min:  rec = 2005-04-05 04:13:26  nom = 2005-04-05 03:00:00
2005/04/05 12:13:40 YVR SA 1200  40 FEW M100 OVC 15 208/6.2/2.7/0914/SC1AC7 7009  UNOFF
2005/04/05 13:01:44 YVR SA 1300  M67 OVC 15 208/6.4/2.3/0914G19/AC10  UNOFF
2005/04/05 14:02:40 YVR SA 1400  M65 BKN 80 OVC 15 205/6.4/2.0/0916/SC7AC3 RMK VIRGA N UNOFF
2005/04/05 15:04:59 YVR SA 1500  64 SCT M78 OVC 15 205/7.6/0.9/0816G24/SC5AC5 6003 RMK VIRGA N UNOFF
2005/04/05 16:02:30 YVR SA 1600  64 FEW M78 OVC 15 206/8.3/1.0/0916G21/SC3AC7  UNOFF
2005/04/05 17:06:15 YVR SA 1700  53 SCT M80 BKN 130 OVC 15 204/9.6/1.2/0919G25/SC4AC3AS3 RMK VIRGA N UNOFF
