2004/07/01 00:03:17 YYZ SA 0000  50 FEW 220 -BKN 30 139/23.2/12.2/2205/CU1CI4 0011  UNOFF
2004/07/01 01:03:09 YVR SA 0100  50 FEW 220 -BKN 30 136/23.1/10.5/2006/CU1CI3  UNOFF
2004/07/01 02:03:58 YVR SA 0200  220 -BKN 30 134/23.4/11.7/2006/CI3  UNOFF
2004/07/01 03:03:36 YVR SA 0300  210 -BKN 30 135/22.6/12.6/2004/CI2 5004  UNOFF
2004/07/01 04:02:24 YVR SA 0400  210 -BKN 30 137/19.7/13.2/1009/CI2  UNOFF
2004/07/01 05:01:05 YVR SA 0500  210 -FEW 30 142/18.4/12.9/1007/CI1  UNOFF
2004/07/01 06:05:07 YVR SA 0600  210 -FEW 20 144/18.1/13.0/1105/CI1 1009  UNOFF
2004/07/01 07:02:42 YVR SA 0700  210 -FEW 20 145/16.1/13.2/0906/CI0  UNOFF
2004/07/01 08:03:28 YVR SA 0800  210 -FEW 20 147/16.6/13.5/1007/CI0  UNOFF
2004/07/01 09:04:18 YVR SA 0900  210 -FEW 20 152/16.0/13.1/1207/CI0 5008  UNOFF
2004/07/01 10:02:37 YVR SA 1000  CLR 20 155/15.3/13.0/1107/  UNOFF
2004/07/01 11:02:30 YVR SA 1100  CLR 20 157/14.0/11.8/0907/  UNOFF
2004/07/01 12:01:19 YVR SA 1200  210 -FEW 20 159/13.8/12.0/0907/CI0 2007  UNOFF
2004/07/01 13:35:23 YVR SA 1300  210 FEW 20 162/14.0/11.3/0909/CI1  UNOFF
2004/07/01 14:02:18 YVR SA 1400  210 FEW 20 164/15.8/11.2/1111/CI2  UNOFF
2004/07/01 15:03:43 YVR SA 1500  45 FEW 210 FEW 20 165/16.9/11.5/1210/CF1CI1 1006  UNOFF
2004/07/01 16:03:10 YVR SA 1600  210 -FEW 20 170/18.2/12.3/1309/CI1  UNOFF
2004/07/01 17:03:32 YVR SA 1700  120 FEW 210 FEW 20 171/19.3/12.8/1211/AC1CI1  UNOFF
2004/07/01 18:00:53 YVR SA 1800  45 FEW 210 FEW 20 173/20.1/12.7/1312/CU1CI1 2008  UNOFF
2004/07/01 19:00:54 YVR SA 1900  45 FEW 210 SCT 20 175/20.9/12.7/1211G17/CU1CI3  UNOFF
2004/07/01 20:01:33 YVR SA 2000  45 FEW 210 SCT 20 174/22.4/12.6/1310G16/CU1CI3  UNOFF
2004/07/01 21:03:29 YVR SA 2100  45 FEW 210 SCT 20 172/22.9/12.8/1310G15/CU1CI3 0001  UNOFF
