 2002  	 Jan  	 Feb  	 Mar  	 Apr  	 May  	 Jun  	 Jul  	 Aug  	 Sep  	 Oct  	 Nov  	 Dec
1 	9.46 	6.11 	8.09 	12.2 	16.9 	8.80 	4.03 	1.78 	1.54 	1.30 	1.04 	3.38
2 	82.7 	5.82 	7.04 	11.4 	18.6 	9.14 	3.25 	1.78 	1.55 	1.24 	1.01 	3.09
3 	100 	8.94 	6.39 	10.0 	14.9 	9.66 	2.83 	1.80 	1.53 	1.40 	1.00 	2.92
4 	48.2 	10.4 	5.90 	9.74 	11.3 	9.64 	2.55 	2.16 	1.53 	1.25 	0.984 	2.77
5 	27.2 	13.2 	5.70 	11.3 	9.51 	10.2 	2.33 	2.06 	1.54 	1.27 	0.973 	2.72
6 	75.4 	20.5 	5.35 	13.9 	8.55 	8.82 	2.15 	2.05 	1.87 	1.24 	1.45 	2.61
7 	226 	31.2 	5.03 	14.3 	7.39 	6.81 	2.10 	1.92 	1.71 	1.19 	3.10 	2.51
8 	131 	24.7 	4.75 	12.2 	6.64 	5.49 	2.55 	1.84 	1.69 	1.18 	8.94 	2.42
9 	60.8 	16.0 	4.54 	11.4 	6.32 	5.10 	2.69 	1.78 	1.73 	1.16 	12.9 	2.37
10 	33.8 	13.0 	5.06 	14.2 	6.16 	6.80 	2.44 	1.73 	1.78 	1.15 	12.4 	7.78
11 	23.2 	11.7 	21.6 	19.5 	6.26 	8.02 	2.38 	1.66 	1.72 	1.11 	21.9 	11.7
12 	24.5 	9.99 	32.6 	26.8 	7.46 	8.58 	2.27 	1.60 	1.72 	1.09 	75.2 	119
13 	20.5 	8.67 	27.2 	61.6 	11.0 	9.12 	2.13 	1.60 	1.57 	1.08 	47.0 	85.9
14 	16.2 	7.41 	18.5 	63.7 	10.6 	9.65 	1.98 	1.82 	1.53 	1.06 	29.7 	122
15 	13.3 	6.55 	14.3 	31.2 	9.05 	8.54 	1.84 	1.79 	1.49 	1.04 	23.3 	100
16 	11.2 	6.08 	12.5 	20.9 	7.76 	7.29 	1.96 	1.75 	1.56 	1.04 	53.9 	87.7
17 	9.79 	6.10 	10.3 	20.0 	9.25 	6.63 	2.00 	1.71 	1.73 	1.02 	36.6 	40.9
18 	8.72 	6.28 	8.96 	17.6 	8.63 	7.89 	2.00 	1.70 	1.71 	1.01 	125 	23.7
19 	8.63 	21.0 	8.09 	15.2 	8.22 	5.87 	1.88 	1.69 	1.68 	1.02 	86.9 	16.9
20 	8.18 	23.4 	7.32 	13.6 	8.50 	5.02 	1.69 	1.66 	1.63 	1.05 	43.0 	13.6
21 	7.84 	40.9 	6.55 	12.8 	9.30 	4.85 	1.60 	1.63 	1.59 	1.05 	22.0 	11.1
22 	6.96 	83.2 	6.22 	12.6 	9.29 	4.88 	1.54 	1.58 	1.51 	1.05 	14.9 	8.95
23 	6.20 	43.8 	6.39 	11.7 	9.59 	4.62 	1.52 	1.54 	1.46 	1.03 	11.1 	7.50
24 	10.0 	25.1 	7.15 	10.2 	8.92 	4.20 	1.50 	1.51 	1.49 	1.03 	8.54 	6.61
25 	17.9 	16.9 	8.44 	9.18 	9.68 	3.88 	1.46 	1.50 	1.46 	1.02 	6.88 	31.5
26 	13.7 	13.3 	10.3 	9.19 	11.6 	4.12 	1.89 	1.49 	1.41 	1.02 	5.77 	39.5
27 	11.8 	11.0 	11.6 	9.45 	12.7 	4.45 	1.94 	1.44 	1.41 	1.03 	5.01 	22.1
28 	9.49 	9.34 	10.5 	9.05 	16.5 	4.36 	1.93 	1.85 	1.51 	1.02 	4.40 	15.8
29 	7.97 	-99	9.71 	9.67 	22.2 	7.08 	1.91 	1.95 	1.44 	1.04 	4.00 	12.2
30 	7.02 	-99	9.29 	11.9 	15.1 	5.49 	1.85 	1.51 	1.38 	1.02 	3.69 	10.8
31 	6.59 	-99	10.3 	-99	10.7 	-99	2.11 	1.55 	-99	1.02 	-99	9.48
