  2005  	 Jan  	 Feb  	 Mar  	 Apr  	 May  	 Jun  	 Jul  	 Aug  	 Sep  	 Oct  	 Nov  	 Dec
1  	 9.71  	 13.3  	 5.81  	 56.1  	 7.33  	 5.59  	 1.79  	 1.32  	 1.97  	 2.35  	 36.5  	 4.45
2 	8.46 	11.0 	7.82 	36.2 	8.37 	5.70 	1.68 	1.30 	1.78 	1.97 	21.7 	4.21
3 	7.35 	9.65 	6.92 	31.3 	8.71 	5.17 	1.63 	1.27 	2.09 	1.86 	20.3 	3.93
4 	6.63 	10.0 	6.03 	23.1 	7.66 	4.59 	1.61 	1.37 	2.22 	1.79 	23.4 	3.64
5 	5.94 	9.71 	5.41 	19.5 	7.55 	4.31 	1.63 	1.39 	2.17 	1.69  	20.3 	3.47
6 	5.59 	9.90 	5.08 	45.6 	6.89 	3.97 	1.90 	1.64 	1.76 	3.00  	16.2 	3.42
7 	5.68 	9.57 	5.69 	34.4 	6.40 	3.60 	2.11 	1.64 	1.88 	6.00  	13.3 	3.34
8 	5.65 	8.33 	6.32 	24.3 	5.74 	3.40 	2.64 	1.62 	1.96 	5.20  	11.2 	3.24
9 	5.13 	7.74 	9.73 	16.4 	5.41 	3.32 	4.05 	1.73 	1.90 	4.85  	12.6 	3.12
10 	4.61 	7.20 	7.72 	13.3 	5.36 	3.12 	3.11 	1.75 	1.84 	4.55  	41.7 	3.01
11 	4.14 	6.61 	6.57 	19.5 	5.62 	3.26 	2.69 	1.74 	1.80 	4.31  	32.4 	2.96
12 	4.35 	6.47 	5.83 	15.8 	5.10 	3.27 	2.52 	1.71 	1.79 	3.82 	23.7 	2.92
13 	3.92 	6.29 	5.14 	13.9 	4.71 	3.47 	2.40 	1.69 	1.74 	10.5 	18.1 	2.84
14 	3.26 	5.91 	4.65 	12.4 	4.57 	4.15 	2.17 	1.66 	1.72 	14.8 	15.5 	2.72
15 	2.93 	5.52 	4.23 	11.9 	5.89 	3.82 	2.09 	1.79 	1.61 	19.7 	12.2 	2.64
16 	3.98 	5.20 	4.11 	55.4 	5.68 	3.45 	1.92 	1.83 	1.84 	9.66 	10.5 	2.51
17 	45.0 	4.94 	4.08 	42.0 	4.91 	3.57 	1.74 	2.33 	1.74 	13.0 	9.90 	2.46
18 	109 	4.71 	3.89 	27.0 	6.67 	3.92 	1.60 	2.05 	1.71 	11.1 	9.58 	2.29
19 	275 	4.49 	3.88 	19.1 	30.6 	3.62 	1.52 	1.91 	1.66 	7.70 	10.1 	2.39
20 	162 	4.25 	11.2 	16.0 	27.4 	3.25 	1.43 	1.84 	1.59 	6.13 	9.60 	31.6
21 	76.1 	4.03 	14.0 	17.3 	16.0 	3.44 	1.40 	1.79 	1.55 	4.97 	8.52 	89.0
22 	105 	3.82 	11.2 	20.1 	47.4 	4.22 	1.39 	1.74 	1.49 	4.23 	7.73 	101
23 	96.3 	3.68 	9.25 	19.4 	55.2 	3.59 	1.48 	1.72 	1.45 	3.89 	7.07 	74.1
24 	57.0 	3.55 	7.86 	17.8 	30.2 	3.07 	1.47 	1.69 	1.41 	3.50 	6.36 	95.4
25 	36.6 	3.44 	6.94 	15.3 	17.8 	2.70 	1.41 	1.85 	1.37 	3.21 	7.04 	78.1
26 	24.4 	3.37 	28.1 	14.3 	12.5 	2.47 	1.35 	1.92 	1.33 	8.13 	7.03 	75.2
27 	20.8 	3.29 	36.8 	14.1 	9.86 	2.36 	1.30 	2.00 	1.27 	6.68 	6.12 	71.0
28 	16.6 	3.28 	25.7 	11.7 	8.18 	2.21 	1.27 	2.03 	1.22 	17.8 	5.41 	53.2
29 	13.0 	-99	17.7 	9.09 	7.09 	2.06 	1.34 	2.01 	1.72 	32.4 	5.19 	40.4
30 	11.0 	-99	14.6 	7.84 	6.29 	1.92 	1.38 	1.67 	3.30 	20.0 	4.78 	37.7
31 	13.5 	-99	14.5 	-99	5.82 	-99	1.34 	1.97 	-99	80.5 	-99	46.2
